Maison de la culture de Cote-des-Neiges;;
",Workshop,May 3 at 3:30 p.m.,Confection d’une toile BD,""Ages 8 + - Presented in May, comic strip month in Montréal libraries"",Register at the youth counter as of April 3";;
",Creative Workshop,May 6 at 2 p.m.,Ma musique en BD,""Ages 7 to 12 - Presented by Jeunesses musicales du Canada - Presented in May, comic strip month in Montréal libraries"",Register at the youth counter as of April 6";;
",Get-together,May 12 at 3:30 p.m. ,Génies en BD,""Ages 7 to 12 - Presented in May, comic strip month in Montréal libraries"",Register at the youth counter as of April 12";;
",Creative Workshop,May 18 at 3:30 p.m.,Devient un super-héros !,""Ages 7 + - Presented in May, comic strip month in Montréal libraries"",Register at the youth counter as of April 18";;
,Storytime,May 20 at 10:30 a.m.,Un p’tit pouce qui marche…,Ages 18 months to 3 - Presented by Rosette D’Aragon - Presented with financial support from Les Amis de la bibliothèque de Montréal,Register at the youth counter as of April 20;;
,Cooking Workshop,June 2 at 3:30 p.m.,Explosion de saveurs,Ages 7 to 13 - Presented by Les ateliers cinq-épices - Presented with financial support from Les Amis de la bibliothèque de Montréal,Register at the youth counter as of May 2;;
,Storytime,June 14 at 6:30 p.m.,Doudou et pyjamas,Ages 3 to 6,Register at the youth counter as of May 14;;
,ADULTS - Registration by phone at 514 872-2370,,,,;;
,Presentation,February 11 at 2:15 p.m.,À la découverte du monde scandinave à partir des polars,Adults - Presented by Hélène Laforce,Register now at the library technician’s desk or by telephone at 514 872-2370;;
,Workshop,March 1 at 2 p.m.,Le salon du scrabble,Adults - Presented by Annie Béliveau - Presented as part of the Festival Montréal joue,Register now at the library technician’s desk or by telephone at 514 872-2370;;
",Presentation,March 16 at 2 p.m.,""Mémoire, mémoire, dis-moi que tu seras fidèle !"",Adults - Presented by Simon Cloutier,Register now at the library technician’s desk or by telephone at 514 872-2370";;
,Presentation,April 22 at 2 p.m.,10 raisons d’être agrotouriste,Adults - Presented by Julie Aubé,Register now at the library technician’s desk or by telephone at 514 872-2370;;
Intercultural Library Cote-Des-Neiges;;
",Storytime,""January 21 and 29, February 11, March 18 and 26, April 8 and 12, May 21, June 3 and 18 at 10:30 a.m."",Brico-contes en famille,Ages 3 +,Register now";;
",Storytime,""January 26, February 23, March 23, April 20, May 18, June 15 at 10:30 a.m."",Les petits gigoteurs,Ages 0 to 3,Register now";;
",Video Games,""January 15, February 5, March 5, April 2, May 7, June 4 at 2 p.m."",""Console, manettes et compagnie"",Children,Register now";;
",Games Worskhop,""January 18, February 1 and 15, March 1, 15 and 29, April 12 and 26, May 10 and 24, June 7 and 21 at 3:30 p.m."",Club de lego,Ages 6 to 12,Register now";;
",Family Film Presentation,""January 27, February 24, March 24, April 28 at 4 p.m."",Maïs soufflé & ciné,Families ,Register now";;
,Free Dance,February 18 at 10:30 a.m.,La sarabande des bambins,Ages 0 to 5,Register now;;
,Science Workshop,February 19 at 1:30 p.m.,Quel est le meilleur avion ?,Ages 6 to 12 - Presented by Les Scientifines,Register now;;
",Storytime and Show,February 25 at 10:30 a.m.,Mes plus beaux contes de Robert Munsch,""Ages 3 to 8, parents welcome - Presented by Renée Robitaille - Presented with financial support from Les Amis de la Bibliothèque de Montréal "",Register now";;
",Games Workshop,March 4 at 2 p.m.,Raconte-moi une histoire,""Ages 6 to 12 - Presented by Tania Baladi - Presented during spring break as part of the Festival Montréal joue, with financial support from Les Amis de la Bibliothèque de Montréal"",Register now";;
,Games Workshop,March 10 at 2 p.m.,Découverte de jeux de société,Ages 7 + - Presented by Randolph animation - Presented during spring break as part of the Festival Montréal joue,Register now;;
,Contest,March 13 to 31,La poésie est sur le dos,Ages 5 to 13 - Small prizes for poetry in Côte-des-Neiges–Notre-Dame-de-Grâce - Presented as part of the Festival J’aime la poésie,Register now;;
,Workshop,March 30 at 2 p.m.,Ce qui se cache sous la production d’un film : réalisation d’un court métrage,Ages 11 to 17 - Presented by Catherine Lemieux Lefebvre,Register now;;
,Collective Crafts,April 1 to 30,Murale Montréal par les livres,Ages 3 to 13 - Dis-nous pourquoi tu aimes Montréal ! - Presented as part of the festivities marking the 375th anniversary of Montréal,Register now;;
,Science Workshop,April 1 at 1:30 p.m.,La science qui pétille sur tes papielles,Ages 6 to 12 - Presented by Les Scientifines,Register now;;
,Workshop for Parents and Babies,April 2 at 10:30 a.m.,Bébés chanteurs,From birth to first steps - Presented by Sonia Péguin,Register now;;
",Meet the Author and Workshop,April 29 at 10 a.m.,La fête de Chapultepec,""Ages 6 +, parents welcome - Featuring children’s author Marie Barguirdjian - Presented as part of the Blue Metropolis International Literary Festival, with financial support from Les Amis de la Bibliothèque de Montréal"",Register now";;
",Introduction to dance,May 6 at 10:30 a.m.,Danse-moi une histoire,""Ages 3 to 5, with parents - Presented by Ms. Clarisse Delatour - Presented with financial support from Les Amis de la bibliothèque de Montréal"",Register now";;
",Meet the Author and Workshop,May 20 at 2 p.m.,Atelier de bande dessinée,""Ages 7 to 16 - Meet comic strip author Stéphanie Leduc - Presented in May, comic strip month in Montréal libraries, with financial support from Les Amis de la Bibliothèque de Montréal"",Register now";;
,Hairstyling Workshop,May 27 at 10:30 a.m.,Papa s’emmêle,Ages 3 and up - Coiffure 101 pour les papas !,Register now;;
,TEENS - Registration by phone at (514) 868-4720.,,,,;;
",Video Games,""January 26, February 23, March 23, April 20, May 25, June 22 at 4 p.m."",""Console, manettes et compagnie"",Teens,Register now";;
,Workshop,March 30 at 2 p.m.,Ce qui se cache sous la production d’un film : réalisation d’un court métrage,Ages 11 to 17 - Presented by Catherine Lemieux Lefebvre,Register now;;
",Meet the Author and Workshop,May 20 at 2 p.m.,Atelier de bande dessinée,""Ages 7 to 16 - Meet comic strip author Stéphanie Leduc - Presented in May, comic strip month in Montréal libraries, with financial support from Les Amis de la Bibliothèque de Montréal"",Register now";;
,ADULTS - Registration by phone at 514 868-4720,,,,;;
",Meeting,""January 9 and 23, February 6 and 20, March 6 and 20, April 3, May 1, 15 and 29, June 12 at 1 p.m."",Conversation french / spanish,Adults,Register now";;
",Meeting,""January 11 and 25, February 8 and 22, March 8 and 22, April 5 and 19, May 3, 17 and 31, June 14 at 1 p.m."",À vos broches (crochets)…Tricotons !,Adults ,Register now";;
,Presentation,January 22 at 1:30 p.m.,Rare books,Adults - Presented by Ms. Ressina and Mr. Paul of the Jewish Public Library,Register now;;
",Meeting,""January 29, February 12 and 26, March 12 and 26, April 9 and 23, May 14 and 28, June 11 at 1 p.m."",Conversation French / English,Adults,Register now";;
,Presentation,February 21 at 1 p.m.,Maximiser son intégration vs les études,New immigrants - Presented by guidance counsellor Sandra Cherry,Register now;;
",Training Couse – in English,""March 15, 22 and 29 at 10 a.m."",Computing capsules,""Adults - The mouse, Google, basic commands"",Register now";;
,Presentation ,March 18 at 1:30 p.m. ,Plantes aromatiques 4E Volet,Adults - Presented by horticulturist Sylvie Fullum,Register now;;
",Training Course – in French,""April 12, 19 and 26 at 10 a.m."",Capsules informatiques,""Adults - La souris, Google, commandes de base"",Register now";;
,Presentation,April 24 at 1:30 p.m.,Comment aider un proche âgé sans s’épuiser ?,Adults - Presented by Linda Couture of the Centre de bénévolat SARPAD,Register now;;
",Presentation,May 16 at 1:30 p.m.,L’activité physique partie intégrante d’un mode de vie sain,""Adults - Presented by Philippe Briand, kinesiologist at the CSSS de la Montagne"",Register now";;
Notre-Dame-de-Grace Library;;
",Storytime in english,""January 14, February 18, April 1 and 29 at 10:30 a.m."",Storytime,Ages 3 to 5 - Presented by Tania Baladi of La machine à nuages - Presented with financial support from Les Amis de la bibliothèque de Montréal,Register now at the youth counter";;
",Storytime,""January 21, March 18, May 13 at 10:30 a.m."",Mini-conte,""Ages 2 to 3 - With Hélène, the kindly library technician"",Register now at the youth counter";;
",Storytime,""January 28, February 25, March 25, April 22, May 27 at 10:30 a.m."",Heure du conte de Laurent,""Ages 4 to 7 - Presented by Laurent, our assistant librarian and inveterate traveller"",Register now at the youth counter";;
",Storytime,""January 29, February 19, March 19, April 9, May 14 at 10:30 a.m."",Heure du conte avec Audrey,""Ages 4 to 6 - Presented by Audrey, our assistant librarian and cat lover "",Register now at the youth counter";;
",Bilingual Workshop (Youth),February 5 at 10:30 a.m.,Introduction to music for tiny tots,""Ages 18 months to 3, with a parent - Presented by Stacey Meiklejohn of Meikle Musik"",Register now at the youth counter";;
",Games Evening,""February 10 and 24, March 10 and 24, April 7 and 21, May 5 and 19 from 4 p.m. to 5:30 p.m."",""It’s friday, who wants to play?"",Ages 8 +,Register now at the youth counter";;
,Show,February 11 at 10:30 a.m.,La maison dans la neige,Ages 18 months to 5 - Presented by Édith Grosse,Register now at the youth counter;;
,Valentine’s Day Crafts,February 11 at 2 p.m.,Paper pearl necklace,Ages 4 +,Register now at the youth counter;;
,Afternoon Games,February 25 at 1:30 p.m.,La caravane ludique,Ages 7 + - Presented by Randolph Pub Ludique - Presented as part of the Festival Montréal joue,Register now at the youth counter;;
",Storytime,""March 4, April 8 at 10:30 a.m."",Petites graines de conte,Ages 4 months to 2 - Presented by Édith Grosse - Presented with financial support from Les Amis de la bibliothèque de Montréal,Register now at the youth counter";;
,Contest,March 13 to 31,La poésie est sur le dos,Ages 5 to 13 - Small prizes for poetry in CDN-NDG - Presented as part of the Festival J’aime la poésie,Register now;;
,April Fools’ Day Crafts,March 26 at 2 p.m.,Un poisson brillant,Ages 4 +,Register now at the youth counter;;
,Collective Crafts,April 1 to 30,J’aime Montréal mural,Ages 3 to 13 - Tell us why you love Montréal! - Presented as part of the festivities marking Montréal’s 375th anniversary,Register now;;
,Easter Crafts,April 8 at 2 p.m.,Poussins mignons,Ages 4 +,Register now at the youth counter;;
",Bilingual Workshop (Youth),April 23 at 10:30 a.m.,Introduction to music for babies,""Ages 0 to 18 months, with a parent - Presented by Stacey Meiklejohn of Meikle Musik"",Register now at the youth counter";;
",Contest,May 6 at 2 p.m.,Génies en BD,""Ages 7 + - Presented in May, comic strip month in Montréal public libraries, in collaboration with the Commission scolaire Marguerite-Bourgeoys"",Register now at the youth counter";;
,Mother’s Day Crafts,May 13 at 2 p.m.,Jewelry tree,Ages 4 +,Register now at the youth counter;;
",Creative Workshop,May 28 at 2 p.m.,Crée ta BD,""Ages 8 to 13 - Presented in May, comic strip month in Montréal public libraries"",Register now at the youth counter";;
,Father’s Day Crafts,June 17 at 2 p.m.,Key ring,Ages 4 +,Register now at the youth counter;;
